food_id,food_name,quantity,expiry_date,provider_id,provider_type,location,food_type,meal_type,claim_id,receiver_id,status,timestamp,provider_name,address,provider_city,provider_contact,receiver_name,receiver_type,receiver_city,receiver_contact,food_status,time_of_day
18,Soup,28,2025-03-27,455,Catering Service,Madisonfort,Vegan,Snacks,819,617,Pending,2025-03-06 01:36:00,Rios Group,"58472 Snyder Squares
Port Zacharyton, CT 67515",Madisonfort,003-727-0894x163,Justin Lee,Individual,Shelleyburgh,199.646.5303x65771,active,Night
19,Rice,13,2025-03-30,419,Supermarket,Port Peter,Vegan,Breakfast,166,297,Completed,2025-03-03 23:05:00,"Hanson, Wilkerson and Lee","948 Evans Green
Lake Carol, GA 38897",Port Peter,759.535.5451,Deanna Daniels,Individual,Aguilarstad,001-436-929-2288,active,Night
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Non-Vegetarian,Snacks,263,800,Completed,2025-03-16 09:37:00,Flores-Wade,"43443 Campbell Highway
Ricetown, MA 95006",Russellfurt,525-492-4716,Anthony Garcia,Individual,Brownbury,+1-845-541-9687x513,active,Morning
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Non-Vegetarian,Snacks,525,438,Completed,2025-03-15 04:20:00,Flores-Wade,"43443 Campbell Highway
Ricetown, MA 95006",Russellfurt,525-492-4716,Jane Davis,Individual,Lake Joshuaville,001-480-554-8487x778,active,Night
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner,726,446,Cancelled,2025-03-06 00:25:00,Gonzales-Cochran,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,Eric Mays,NGO,Port Deborahbury,555-698-7496x465,active,Night
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner,776,559,Cancelled,2025-03-02 00:29:00,Gonzales-Cochran,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,Randy Martinez,Shelter,Brownville,001-788-451-1379x961,active,Night
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast,295,493,Pending,2025-03-13 18:39:00,Wilson Group,"Unit 6637 Box 3119
DPO AP 06435",Medinatown,4943539272,Chelsea Powell,Charity,Lake Rachelburgh,001-527-059-4168x72504,active,Evening
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast,837,228,Cancelled,2025-03-12 14:13:00,Wilson Group,"Unit 6637 Box 3119
DPO AP 06435",Medinatown,4943539272,Joanna Wilkins,Charity,Singletonview,(796)888-1488,active,Afternoon
28,Chicken,5,2025-03-22,606,Grocery Store,North Nathan,Non-Vegetarian,Dinner,764,788,Completed,2025-03-16 04:52:00,"Freeman, Decker and Johnson","6294 Gregory Throughway Suite 517
West Marychester, NM 35832",North Nathan,290-849-5446x412,Beth Phillips,NGO,Zacharyview,(293)383-2279x8386,active,Night
29,Bread,18,2025-03-19,196,Restaurant,Bartonborough,Vegan,Lunch,450,554,Cancelled,2025-03-20 20:03:00,Owens-Taylor,"553 Emily Mountains Suite 339
East Mary, MI 74272",Bartonborough,+1-977-169-9906x1607,Margaret Mccullough,Charity,Ortizmouth,888-890-3956,expired,Evening
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,697,132,Completed,2025-03-04 17:46:00,Moore-Flowers,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,Katherine Gomez,Charity,South Jasonberg,(609)802-2108x3673,active,Evening
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,790,680,Completed,2025-03-05 13:01:00,Moore-Flowers,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,James Lewis,NGO,Richardton,001-151-287-1850,active,Afternoon
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,863,16,Pending,2025-03-09 22:36:00,Moore-Flowers,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,Elizabeth Lewis,NGO,Port Tara,500.386.3867x7565,active,Night
31,Bread,42,2025-03-22,535,Grocery Store,Valdezborough,Non-Vegetarian,Snacks,825,590,Pending,2025-03-12 07:28:00,Hill PLC,"8470 Brandon Extension
North Rhondastad, AK 50332",Valdezborough,+1-157-982-5008x743,Terry Fernandez,Shelter,Mooreburgh,506.052.7523x43392,active,Morning
33,Salad,9,2025-03-27,798,Grocery Store,North Amanda,Vegetarian,Breakfast,215,762,Cancelled,2025-03-08 11:37:00,Jordan LLC,"2673 Maria Knolls
Comptonborough, NY 52749",North Amanda,+1-073-137-5460,Donna Chang,NGO,East Stevenborough,9564962501,active,Morning
34,Bread,3,2025-03-30,396,Catering Service,Heatherside,Vegan,Breakfast,755,709,Completed,2025-03-15 03:13:00,Chase-Gross,"950 Nicole Burg Suite 178
Donnamouth, AL 08654",Heatherside,(041)493-1650,Matthew Sanchez,Individual,New Stephanie,131.083.4622x013,active,Night
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,176,276,Cancelled,2025-03-12 01:34:00,Williams-Cox,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,Scott Hunter,Individual,Greenton,074.305.5053x60975,active,Night
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,647,654,Pending,2025-03-18 17:53:00,Williams-Cox,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,John Murray,Shelter,Fernandezberg,001-664-004-0117x5796,active,Evening
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,773,205,Pending,2025-03-12 10:01:00,Williams-Cox,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,Kimberly Wilkins,Charity,West Casey,3783162949,active,Morning
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,774,479,Cancelled,2025-03-20 12:11:00,Williams-Cox,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,Karen Reeves MD,NGO,Lake Mitchellbury,365-174-3809,active,Afternoon
36,Rice,35,2025-03-20,1,Supermarket,New Jessica,Vegan,Breakfast,715,668,Pending,2025-03-17 14:14:00,Gonzales-Cochran,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,Maria Singh,NGO,Brandonhaven,+1-353-127-1876x477,active,Afternoon
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,53,449,Completed,2025-03-11 09:43:00,Hunt-Lee,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,Mrs. Valerie Hartman,NGO,Port Jenniferborough,1271218776,active,Morning
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,939,512,Pending,2025-03-08 15:55:00,Hunt-Lee,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,Anne Stone,Shelter,Pittsville,(468)482-9531x7575,active,Afternoon
39,Bread,48,2025-03-22,758,Catering Service,Port Patrick,Non-Vegetarian,Breakfast,537,259,Cancelled,2025-03-20 08:41:00,Todd Group,"Unit 6259 Box 3832
DPO AE 28167",Port Patrick,236.722.8623,Aimee Stone,NGO,Barnesport,104-394-7041x83013,active,Morning
40,Fruits,12,2025-03-27,965,Restaurant,Port Bryce,Vegetarian,Breakfast,195,294,Completed,2025-03-15 20:49:00,Oconnor Ltd,"49967 Victoria Union Suite 176
Watkinsport, NC 14235",Port Bryce,+1-484-031-6824x10667,Cynthia Horton,NGO,Jamesstad,535.576.5970x774,active,Evening
41,Chicken,14,2025-03-27,450,Catering Service,Grahamside,Non-Vegetarian,Dinner,928,945,Pending,2025-03-20 00:15:00,Gibson and Sons,"0835 Franco Common
East Martha, SD 01753",Grahamside,(804)688-7617,Alex Leon,Individual,Caitlynhaven,(667)114-0630x55873,active,Night
43,Pasta,44,2025-03-22,29,Grocery Store,Patrickmouth,Vegan,Lunch,926,72,Cancelled,2025-03-06 12:37:00,Andrews-Wiley,"37741 Edward Green Apt. 840
Whiteport, WY 68558",Patrickmouth,+1-657-214-6013x08444,Charles Davidson,Shelter,West Angelatown,+1-294-698-2957,active,Afternoon
45,Fish,17,2025-03-24,874,Catering Service,Priceland,Non-Vegetarian,Lunch,397,435,Pending,2025-03-04 14:58:00,Long-Alexander,"4601 Samuel Ranch Suite 442
New Ronald, SC 13631",Priceland,328-638-0829x010,Whitney Evans,Shelter,Martinezside,001-355-911-9659,active,Afternoon
46,Pasta,25,2025-03-28,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast,137,548,Completed,2025-03-06 03:22:00,Townsend Inc,"39437 Alejandro Path Apt. 765
Olsonview, MS 29423",East Emilyburgh,001-820-820-2213x469,Gary Andrews,NGO,Gonzalezstad,+1-115-368-3340,active,Night
47,Salad,3,2025-03-17,420,Catering Service,Anthonyton,Vegan,Snacks,727,548,Cancelled,2025-03-17 04:10:00,Snyder Ltd,"04976 Harris River Apt. 880
Josephland, CT 42183",Anthonyton,805-601-1161x98115,Gary Andrews,NGO,Gonzalezstad,+1-115-368-3340,,Night
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner,325,586,Completed,2025-03-11 14:05:00,Webster and Sons,"9427 Jones Ridges Suite 824
South Brendan, CT 19533",Morriston,161.555.4218x17236,Amy Barker,Shelter,North Nathanville,001-806-821-3010x5044,active,Afternoon
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner,665,314,Pending,2025-03-08 19:49:00,Webster and Sons,"9427 Jones Ridges Suite 824
South Brendan, CT 19533",Morriston,161.555.4218x17236,Kelsey Smith,Shelter,Haleymouth,(764)989-3036x77897,active,Evening
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegetarian,Dinner,396,436,Completed,2025-03-16 23:56:00,Roy-Hancock,"203 Dawn Ridge
Loganshire, SC 01665",Maxwellburgh,(186)046-9157,Jacqueline Turner,NGO,Robertsport,937.841.8251,active,Night
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegetarian,Dinner,534,287,Cancelled,2025-03-10 15:47:00,Roy-Hancock,"203 Dawn Ridge
Loganshire, SC 01665",Maxwellburgh,(186)046-9157,Jennifer Johnson,Charity,Burnettton,7970971389,active,Afternoon
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Vegetarian,Snacks,339,497,Completed,2025-03-06 23:14:00,"Gutierrez, Anthony and Shannon","6787 Jamie Fords Suite 103
Wademouth, IL 18159",Lake Justin,2924416283,Miss Jamie Gonzalez DDS,Charity,Proctorville,(011)132-1619x1390,active,Night
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Vegetarian,Snacks,554,126,Completed,2025-03-04 07:19:00,"Gutierrez, Anthony and Shannon","6787 Jamie Fords Suite 103
Wademouth, IL 18159",Lake Justin,2924416283,Heather Brown,NGO,North Lori,(836)116-1365x8718,active,Morning
55,Vegetables,19,2025-03-17,967,Grocery Store,Coleburgh,Vegetarian,Breakfast,648,1000,Completed,2025-03-08 11:56:00,Miller Inc,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,April Miller,Shelter,Shelbychester,894-873-2652x23999,active,Morning
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Vegetarian,Lunch,119,75,Cancelled,2025-03-18 15:38:00,Brown-Grimes,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479,Nicholas Smith,Charity,Manningtown,+1-605-970-1115,active,Afternoon
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Vegetarian,Lunch,678,139,Pending,2025-03-10 00:33:00,Brown-Grimes,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479,Charles Martin,NGO,New Christopher,(586)009-0817x964,active,Night
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,27,487,Completed,2025-03-17 05:07:00,Harrison-Wilson,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,Micheal Peterson,NGO,West Jeffreyfurt,094.330.4095,active,Morning
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,39,923,Pending,2025-03-12 09:57:00,Harrison-Wilson,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,Victor Diaz,Shelter,Darinview,561.923.0470x922,active,Morning
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,576,341,Completed,2025-03-17 02:11:00,Harrison-Wilson,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,Anna Buckley,Individual,Murphyfort,421.281.9097x013,active,Night
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks,530,543,Completed,2025-03-07 03:12:00,Carter-Jones,"26720 Candace Inlet Suite 052
Hendersonton, MA 30678",East Terrancemouth,892-412-5796,Brenda Green,Charity,Jacobmouth,001-344-515-4579x388,active,Night
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks,569,401,Pending,2025-03-02 15:48:00,Carter-Jones,"26720 Candace Inlet Suite 052
Hendersonton, MA 30678",East Terrancemouth,892-412-5796,Leslie Acevedo,Charity,Lake Matthew,(028)737-3556x89803,active,Afternoon
61,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegetarian,Lunch,4,933,Cancelled,2025-03-04 09:08:00,Davis-Hurley,"687 Sparks Forks
East Patricia, NC 25546",West Catherine,(172)389-0239x87614,Jodi Lee,NGO,West Paulfort,3517962649,active,Morning
63,Salad,6,2025-03-20,335,Grocery Store,North Gary,Vegetarian,Dinner,288,964,Completed,2025-03-19 02:29:00,"Newman, Pearson and Mccarthy","4719 Darryl Isle
New Rebecca, GA 13003",North Gary,905.549.7068,Donald Moore,Individual,Davisfort,001-742-164-8768x9906,active,Night
64,Soup,41,2025-03-26,678,Grocery Store,Lake Travis,Non-Vegetarian,Dinner,539,119,Cancelled,2025-03-08 09:41:00,Ruiz-Oneal,"934 Kelsey Shoals
Tiffanyburgh, IL 56636",Lake Travis,(569)363-0118,Jasmine Robertson,Individual,Deanview,001-388-078-6769x4237,active,Morning
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Vegetarian,Breakfast,77,324,Completed,2025-03-04 22:57:00,Cole LLC,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377,Kristine Martin,NGO,Thompsonhaven,444.954.4127x16438,active,Night
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Vegetarian,Breakfast,477,301,Cancelled,2025-03-11 13:18:00,Cole LLC,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377,Kristina Simpson,NGO,Melissaport,3752453906,active,Afternoon
66,Fish,6,2025-03-22,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast,852,700,Cancelled,2025-03-18 10:02:00,Taylor-Matthews,"073 Cathy Trail Apt. 793
Nelsonfurt, NY 98042",Lake Donna,864-725-3991x8612,Kimberly Duncan,Shelter,West Monica,001-851-158-2436x740,active,Morning
67,Rice,50,2025-03-24,455,Catering Service,Madisonfort,Vegan,Breakfast,163,302,Cancelled,2025-03-02 09:04:00,Rios Group,"58472 Snyder Squares
Port Zacharyton, CT 67515",Madisonfort,003-727-0894x163,Daniel Moore,Charity,Port Richard,176-809-8232x828,active,Morning
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks,229,407,Completed,2025-03-19 23:40:00,Small Ltd,"85125 Deanna Garden
New Sherry, IL 97694",Gaineschester,1943075475,Arthur Thomas,Charity,Clarkhaven,001-797-615-8560x7849,expired,Night
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks,243,98,Cancelled,2025-03-13 02:42:00,Small Ltd,"85125 Deanna Garden
New Sherry, IL 97694",Gaineschester,1943075475,Brian Cowan,Individual,Henryhaven,(234)142-1265x21005,active,Night
70,Rice,7,2025-03-16,313,Supermarket,Boylechester,Vegetarian,Lunch,845,42,Pending,2025-03-09 11:24:00,Maldonado-Davis,"51547 Desiree Cape Suite 175
Port Benjaminfurt, RI 95290",Boylechester,9538261424,Maria Jacobs,NGO,Port Dawntown,(225)019-8954,active,Morning
71,Fish,45,2025-03-19,750,Supermarket,Michaelton,Non-Vegetarian,Lunch,851,164,Completed,2025-03-08 16:08:00,Barnes and Sons,"41662 John Shoals Apt. 246
West Shannon, NM 07777",Michaelton,(547)040-4732,Aaron Scott,Charity,Heatherfurt,(075)863-3168x28937,active,Afternoon
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegetarian,Dinner,374,696,Pending,2025-03-10 14:14:00,Ibarra and Sons,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223,Kellie Hart,Charity,Changview,+1-235-589-9126x33112,active,Afternoon
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegetarian,Dinner,607,397,Cancelled,2025-03-12 00:38:00,Ibarra and Sons,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223,Mr. Robert Rivera II,Individual,Bergerport,+1-470-154-5478x4289,active,Night
73,Soup,48,2025-03-19,485,Restaurant,East Andrea,Vegan,Breakfast,269,880,Completed,2025-03-13 14:01:00,Baker-Mcdonald,"290 Bowen Loaf Apt. 261
Gordonshire, ME 35368",East Andrea,933.503.6294x194,Kristen Foster,Shelter,North Ricardo,749.252.8592,active,Afternoon
73,Soup,48,2025-03-19,485,Restaurant,East Andrea,Vegan,Breakfast,513,283,Cancelled,2025-03-05 20:17:00,Baker-Mcdonald,"290 Bowen Loaf Apt. 261
Gordonshire, ME 35368",East Andrea,933.503.6294x194,Edward Cook,Charity,Isaiahtown,990-534-5202x158,active,Evening
74,Chicken,12,2025-03-29,387,Grocery Store,West Juliabury,Non-Vegetarian,Breakfast,493,294,Cancelled,2025-03-18 05:15:00,Barrera-Ward,"55591 Eric Corners Apt. 955
Riveraburgh, NJ 52897",West Juliabury,958.242.0037,Cynthia Horton,NGO,Jamesstad,535.576.5970x774,active,Morning
78,Chicken,1,2025-03-23,913,Grocery Store,Erikatown,Non-Vegetarian,Dinner,653,765,Pending,2025-03-02 10:50:00,Crosby Group,"81218 Peter Rest Apt. 173
East Caitlinport, NV 39150",Erikatown,+1-307-053-5303x7456,Joshua Hooper,Shelter,Buchananton,+1-013-463-1430x05130,active,Morning
79,Rice,25,2025-03-19,100,Catering Service,Mooreview,Vegan,Breakfast,457,508,Pending,2025-03-05 04:11:00,Greene-Garcia,"USS Smith
FPO AE 39123",Mooreview,155.846.6299,Kimberly Wilson,Individual,Susanville,9903662975,active,Night
80,Dairy,36,2025-03-29,434,Restaurant,Nicoletown,Vegetarian,Breakfast,184,50,Cancelled,2025-03-02 04:01:00,Kennedy-Johnston,"72862 Matthew Prairie Apt. 637
Reidland, CA 77085",Nicoletown,(669)695-7079x59486,Brian Gonzales,NGO,North Sarah,001-241-438-2803x907,active,Night
81,Fruits,33,2025-03-18,848,Supermarket,Fowlerbury,Vegetarian,Snacks,300,645,Pending,2025-03-14 16:21:00,Fisher PLC,"350 Danny Flats Suite 806
Smithfort, IN 28216",Fowlerbury,+1-823-181-5943x270,Steven Armstrong,NGO,Robertfurt,2161559564,active,Afternoon
83,Rice,44,2025-03-28,312,Restaurant,North Ianbury,Vegetarian,Dinner,702,150,Cancelled,2025-03-11 23:02:00,Garcia-Hunter,"019 Amy Station
South Daniel, MD 51890",North Ianbury,150-729-4411,Kelly Howe,Charity,Davidmouth,096.059.3098x621,active,Night
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks,369,105,Completed,2025-03-10 02:34:00,Miller Inc,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,Trevor Wilson,NGO,North Pamela,001-651-719-1403x4050,active,Night
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks,502,168,Completed,2025-03-05 01:43:00,Miller Inc,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,Kayla Johnson,Shelter,East Timhaven,786.534.5065,active,Night
84,Rice,25,2025-03-23,967,Grocery Store,Coleburgh,Vegan,Snacks,736,544,Completed,2025-03-14 23:52:00,Miller Inc,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,Matthew Wright,NGO,Port Traci,001-782-074-4708,active,Night
85,Pasta,28,2025-03-16,554,Restaurant,Brandyberg,Vegan,Lunch,690,781,Completed,2025-03-09 18:58:00,Jackson Ltd,"325 Becker Pass
West Bobshire, MT 42103",Brandyberg,920-705-5617x44135,Jason Taylor,NGO,Reginaburgh,150-638-0354x9178,active,Evening
86,Soup,13,2025-03-30,288,Supermarket,Maynardstad,Vegetarian,Dinner,668,205,Cancelled,2025-03-10 09:10:00,Carlson-Mathis,"98491 Matthews Mall
Lake Juantown, NY 51580",Maynardstad,518.257.3189x434,Kimberly Wilkins,Charity,West Casey,3783162949,active,Morning
88,Vegetables,22,2025-03-21,491,Supermarket,Samanthabury,Vegetarian,Dinner,413,791,Completed,2025-03-10 20:51:00,Wilkerson-Woods,"51520 Deborah Views Apt. 001
Moranbury, VT 92348",Samanthabury,3597678978,David Kennedy,Charity,Port Caleb,001-061-612-9715x40982,active,Evening
89,Chicken,3,2025-03-27,844,Grocery Store,Olsenstad,Non-Vegetarian,Lunch,105,619,Completed,2025-03-15 23:07:00,Gallagher-Brown,"USNV Morris
FPO AP 79488",Olsenstad,9339428554,Taylor Estrada,NGO,Nguyenview,001-351-556-5960x359,active,Night
89,Chicken,3,2025-03-27,844,Grocery Store,Olsenstad,Non-Vegetarian,Lunch,943,934,Pending,2025-03-02 00:43:00,Gallagher-Brown,"USNV Morris
FPO AP 79488",Olsenstad,9339428554,Dr. Wendy Terrell,Charity,Erikashire,566-236-8791,active,Night
90,Bread,29,2025-03-23,477,Supermarket,East Jacobchester,Vegan,Breakfast,510,419,Pending,2025-03-12 09:35:00,Alvarado LLC,"48690 Boyle Plaza Suite 271
North Briantown, AK 84478",East Jacobchester,5915828492,Teresa Jackson,Shelter,Port Thomasstad,001-620-115-6715x07034,active,Morning
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Non-Vegetarian,Breakfast,265,103,Cancelled,2025-03-15 07:39:00,Butler-Richardson,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,Karen Cruz,Individual,West Justin,(500)583-5978,active,Morning
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Non-Vegetarian,Breakfast,588,640,Cancelled,2025-03-12 05:36:00,Butler-Richardson,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,Joseph Smith,NGO,Anthonystad,716-698-3766x7391,active,Morning
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Non-Vegetarian,Breakfast,612,192,Completed,2025-03-13 21:16:00,Butler-Richardson,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616,Rhonda King,Individual,Toddborough,367-958-5492,active,Night
